Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
Aldama Regina,Gernika,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Aldasoro Sagastume, Pascual",Hernani,"Donostia, Hospital",1936-09-12,Muerto frente / Frontean hila
"Aldasoro, Cruz",Andoain,,,Fusilado / Fusilatua
"Aldatz, Juan",Bilbo,Sollube,1937-05-17,Muerto frente / Frontean hila
"Aldave, Marcos",Elgoibar,Elgoibar,1937-04-19,Fusilado / Fusilatua
"Alday Ascorbebeitia, Vicente",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Alday Beistegui, Eustaquio",Eibar,Eibar,1937-04-24,Muerto frente / Frontean hila
"Alday Campanaga, Francisco Javier",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Alday Campanaga, Irene",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Alday Campanaga, Juan",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Alday Portuondo, Juan",Gernika,Gernika,1937-05-11,Bombardeo / Bonbardaketan hila
"Aldaz Labaca, Faustino",Andoain,Donostia,1936-10-20,Fusilado / Fusilatua
"Aldazabal Bengoa, Jose Maria",Eibar,Amurrio,1937-05-27,Muerto frente / Frontean hila
"Aldazabal Gabieta, Antonia",Markina,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aldazabal Martin, Guillermo",Bilbo,Hospital Basurto,1937-01-06,Muerto frente / Frontean hila
"Aldazabal, Marcos",Oñati,Santander,1937-08-17,Fusilado / Fusilatua
"Aldea Cester, Antonio",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aldea Cester, Miguel",Berriz,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aldecoa Gallano, Martin",Bilbo,Bilbo,1936-09-25,Bombardeo / Bonbardaketan hila
"Aldecoa, Felix",Mañaria,Artxanda,1937-06-13,Muerto frente / Frontean hila
"Aldecoa, Miguel",,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aldereguia Lafuente, Felix",Iruñea,Eibar,1936-10-06,Muerto frente / Frontean hila
"Aldivar Fernandez, Buenaventura",Artziniega,Bilbo,1937-09-06,Fusilado / Fusilatua
"Alducin Azcona, Jesus",,,,Muerto frente / Frontean hila
"Alegre Lores, Antonio",Donostia,Hernani,1936-10-19,Fusilado / Fusilatua
"Alegre Santa Eulalia, Amancio",Aramiñon,Aramiñon,1936-08-28,Fusilado / Fusilatua
"Alegria Iñurria, Jacinto",,,,Muerto frente / Frontean hila
"Alegria Mateo, Angel",Mendabia,,,Muerto frente / Frontean hila
"Alegria Polo, Saturnino",Bilbo,Otxandio,1936-12-03,Muerto frente / Frontean hila
"Alegria Solabarrieta, Jose Maria",Ondarroa,Uribitarte,1938-12-02,Fusilado / Fusilatua
"Alejandre Angulo, Victor",Gurendes,Egileta,1937-04-01,Fusilado / Fusilatua
"Alfaro Benito, Eleuterio",,Markina,1936-10-22,Muerto frente / Frontean hila
"Alfaro Martinez, Pedro",Bilbo,Sollube,1937-05-10,Muerto frente / Frontean hila
"Alfonso Alfonso, Juan",,Hospital Civil,1936-10-09,Muerto frente / Frontean hila
"Alfonso Cruz, Manuel",Bilbo,Artxanda,1937-06-18,Muerto frente / Frontean hila
"Alfonso Fernandez, Antonio",Donostia,Donostia,1936-08-03,Muerto frente / Frontean hila
"Alfonso Muguruzar, Aurelia",Barakaldo,Barakaldo,1937-06-13,Bombardeo / Bonbardaketan hila
"Algorta Abrisqueta, Simona",Legutio,Barakaldo,1936-12-17,Bombardeo / Bonbardaketan hila
"Algorta, Modesta",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Alier Perez, Cayetano",Riofrio,Sollube,1937-05-13,Muerto frente / Frontean hila
"Alistaran Isla, Joaquin",Sopuerta,Barazar,1937-04-07,Muerto frente / Frontean hila
"Alkiza, Miguel",Donostia,Donostia,1936-07-26,Fusilado / Fusilatua
"Alkorta Aldai, Luis",Donostia,Asturias,1937-02-21,Muerto frente / Frontean hila
"Alkorta Bastida, Jose",Zestoa,Eibar,1937-04-22,Muerto frente / Frontean hila
"Alkorta Iturbe, Eusebio",,,,Muerto frente / Frontean hila
"Allende Azcuna, Federico",San Agustin,Amurrio,1937-05-26,Muerto frente / Frontean hila
"Allende Santamaria, Ernesto",Bilbo,Urkiola,1937-04-08,Fusilado / Fusilatua
"Allende Sañudo, Juan",Torrelavega,Euba,1937-05-04,Muerto frente / Frontean hila
"Allende Serrano, Celestino",Gallarta,Ubidea,1936-12-04,Muerto frente / Frontean hila
"Allica Arrica, Carlos",Bermeo,Barazar,1937-04-06,Muerto frente / Frontean hila
"Allica Ereñozaga, Luis",Bermeo,Legutio,1936-12-01,Muerto frente / Frontean hila
"Allica Menchaca, Juan",Bermeo,Mungia,1937-06-01,Muerto frente / Frontean hila
"Allica Zalacain, Jesus",Lanestosa,Legutio,1936-12-02,Muerto frente / Frontean hila
"Allonga Villamea, Anastasio",Barcelona,Zornotza,1936-12-04,Muerto frente / Frontean hila
"Almazan Cilaurren, Ramon",Bilbo,Mutriku,1936-09-26,Muerto frente / Frontean hila
"Almazan Esteban, Agustin",,,,Muerto frente / Frontean hila
"Almeida Elordieta, Clara",Gernika,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Almigol Malo, Emilio",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Almortza Etxaide, Juan",Zizurkil,Tolosa,1936-10-06,Fusilado / Fusilatua
"Almundi Peinador, Crescencio",Ortuella,San Cristobal,1938-05-22,Fusilado / Fusilatua
"Alona Ugalde, Crescencio",,,1937-05-28,Muerto frente / Frontean hila
"Alonso Abadia, Rafael",Bilbo,Bilbo,1937-08-03,Fusilado / Fusilatua
"Alonso Agirremota, Andres",,,,Muerto frente / Frontean hila
"Alonso Arnaiz, Desiderio",Bermeo,Markina,1936-09-28,Muerto frente / Frontean hila
"Alonso Blazquez, Andres",Bilbo,Bilbo,1937-12-18,Fusilado / Fusilatua
"Alonso Bravo, Leoncio",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Alonso Cabezon, Ignacio",Sestao,Euba,1937-05-09,Muerto frente / Frontean hila
"Alonso Cabezon, Vicente",Barakaldo,Elgeta,1937-04-25,Muerto frente / Frontean hila
"Alonso Cebaña, Angel",,Sollube,1937-05-06,Muerto frente / Frontean hila
"Alonso De Las Heras, Alberto",Gallarta,Zornotza,1937-04-08,Muerto frente / Frontean hila
"Alonso De Las Heras, Emilio",Gallarta,Arrate,1936-09-21,Muerto frente / Frontean hila
"Alonso Delgado, Gregorio",Irun,Bizkargi,1937-06-13,Muerto frente / Frontean hila
"Alonso Diez, Angel",Orzonaga,Dima,1937-04-15,Muerto frente / Frontean hila
"Alonso Fernandez, Bernardino",Donostia,Hernani,1936-10-23,Fusilado / Fusilatua
"Alonso Fernandez, Ramona",Donostia,Donostia,1936-07-22,Muerto frente / Frontean hila
"Alonso Fernandez, Senen",Las Arenas,Zornotza,1937-05-24,Muerto frente / Frontean hila
"Alonso Ferrero, Manuel",Donostia,Donostia,1939-05-15,Fusilado / Fusilatua
"Alonso Fuentes, Ladislao",Bilbo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Alonso Garcia, Gaspar",,,,Muerto frente / Frontean hila
"Alonso Garcia, Nicasio",Sestao,Ixerango,1937-05-20,Muerto frente / Frontean hila
"Alonso Gonzalez, Evencio",Bilbo,Bilbo,1937-06-24,Fusilado / Fusilatua
"Alonso Gonzalez, Gregorio",Donostia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alonso Gonzalez, Juan",Bilbo,Bilbo,1937-05-17,Otras circunstancias / Beste batzuk
"Alonso Gonzalez, Luis",Bilbo,Bilbo,1937-04-22,Bombardeo / Bonbardaketan hila
"Alonso Gonzalez, Prudencio",Arrasate,Gasteiz,1938-03-14,Fusilado / Fusilatua
"Alonso Grande, Felix",Lasarte,Hospital Karrantza,1937-07-04,Muerto frente / Frontean hila
"Alonso Gutierrez, Teodoro",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Alonso Jimenez, Manuel",Cadiz,Portugalete,1937-05-12,Muerto frente / Frontean hila
"Alonso Landera, Juan",Muskiz,Barazar,1937-04-06,Muerto frente / Frontean hila
"Alonso Martinez, Andres",Gasteiz,Gasteiz,1937-10-31,Fusilado / Fusilatua
"Alonso Martinez, Jesus",Deustu,Asturias,1937-02-23,Muerto frente / Frontean hila
"Alonso Martinez, Macario",Basauri,Cestafe,1936-12-03,Muerto frente / Frontean hila
"Alonso Mediavilla, Juan Angel",Bilbo,Hospital Luxua,1937-05-06,Muerto frente / Frontean hila
"Alonso Mendizabal, Jose",Donostia,Gorbea,1937-04-06,Muerto frente / Frontean hila
"Alonso Miguel, Ignacio",Erandio,Durango,1937-04-30,Muerto frente / Frontean hila
"Alonso Miguel, Luis",Erandio,Erandio,1937-01-03,Bombardeo / Bonbardaketan hila
"Alonso Muñoz, Agripino",Las Arenas,Hospital Basurto,1937-06-12,Muerto frente / Frontean hila
"Alonso Muñoz, Jose",Zarautz,Bilbo,1938-01-09,Fusilado / Fusilatua
"Alonso Nicolas, Evelio",,,,Muerto frente / Frontean hila
"Alonso Oliveros, Eusebio",Sestao,Sestao,1937-05-23,Bombardeo / Bonbardaketan hila
"Alonso Pantioso, Pedro",Bilbo,Nafarrate,1936-12-05,Muerto frente / Frontean hila
"Alonso Para, Eusebio",Gallarta,Barazar,1937-04-05,Muerto frente / Frontean hila
"Alonso Porres, Jesus",,,,Muerto frente / Frontean hila
"Alonso Portal, Gregorio",,Hospital Barakaldo,1937-06-14,Muerto frente / Frontean hila
"Alonso Puentes, Ladislao",Bilbo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Alonso Rodriguez, Julian",Abanto,Ubidea,1936-12-21,Muerto frente / Frontean hila
"Alonso Rojo, Aniceto",Algorta,Bilbo,1937-09-07,Fusilado / Fusilatua
"Alonso Rouco, Aniceto",Bilbo,Bilbo,1937-09-07,Fusilado / Fusilatua
"Alonso Ruiz, Constantino",Bilbo,Bilbo,1938-03-11,Fusilado / Fusilatua
"Alonso Saenz, Victor",Bilbo,Ubidea,1936-12-13,Muerto frente / Frontean hila
"Alonso Sanchez, Justo",Abanto,Barazar,1937-04-05,Muerto frente / Frontean hila
"Alonso Santos, Luciano",Erandio,Markina,1937-04-27,Muerto frente / Frontean hila
"Alonso Seco, Orencio",Sestao,Etxano,1937-05-16,Muerto frente / Frontean hila
"Alonso Sobron, Eugenio",Sodupe,Bilbo,1937-09-16,Fusilado / Fusilatua
"Alonso Solana, Marcos",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alonso Suso, Saturnino",Gasteiz,Gasteiz,1936-09-20,Fusilado / Fusilatua
"Alonso Torralba, Santos",Almazan,Prision Orduña,1940-12-19,Muerto prisión / Espetxean hila
"Alonso Torres, Jesus",,Zornotza,1937-04-12,Muerto frente / Frontean hila
"Alonso Uriarte, Esteban",Sestao,Oviedo,1937-02-23,Muerto frente / Frontean hila
"Alonso Vicario, Quintin",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Alonso Zubillaga, Domingo",Sopuerta,Asturias,1937-02-25,Muerto frente / Frontean hila
"Alonso Zubizarreta, Francisco",,,,Muerto frente / Frontean hila
"Alonso Zubizarreta, Maria Pilar",Donostia,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Alonso, Pedro",Donostia,Donostia,1936-10-01,Fusilado / Fusilatua
"Alquien, Daniel",,,1937-05-02,Muerto frente / Frontean hila
"Alquiza Echave, Ignacio",,,,Muerto frente / Frontean hila
"Alsina Navarra, Luis",Deustu,Prision Deustu,1939-02-12,Fusilado / Fusilatua
"Altazubiaga Vizcaya, Manuel",Abanto,Abanto,1937-06-16,Bombardeo / Bonbardaketan hila
"Altolaguirre Camarero, Jesus",Hernani,Lerma,1938-01-30,Muerto prisión / Espetxean hila
"Altube Basauri, Jose",Tolosa,Frente Norte,1937-04-30,Muerto frente / Frontean hila
"Altubre Gallastegi, Fernando",,,,Muerto frente / Frontean hila
"Altuna Artola, Jose",Donostia,Asturias,1936-11-04,Muerto frente / Frontean hila
"Altuna Luegriz, Mariano",,,,Muerto frente / Frontean hila
"Altuna Narbaiza, Esteban",Bergara,Bizkargi,1937-05-20,Muerto frente / Frontean hila
"Altuna Olabarri, Victoriano",Miravalles,Bilbo,1937-09-07,Fusilado / Fusilatua
"Altuna Soruca, Jose",Donostia,Asturias,1936-11-04,Muerto frente / Frontean hila
"Altuna Zuaristi, Mariano",Arrasate,Eibar,,Muerto frente / Frontean hila
"Alustiza Aguirre, Damian",Legazpi,Otxandio,1936-12-01,Muerto frente / Frontean hila
"Alustiza Aguirre, Juan",Legazpi,Durango,1937-03-31,Muerto frente / Frontean hila
"Alustiza Bilbao, Lucio",,,,Muerto frente / Frontean hila
"Alustiza Goitia, Juana Martina",Beasain,Beasain,1936-10-14,Fusilado / Fusilatua
"Alustiza Murgiondo, Blas",Mutiloa,Galdakao,1937-06-13,Muerto frente / Frontean hila
"Alustiza Olaechea, Juan",Donostia,Zornotza,1937-05-23,Muerto frente / Frontean hila
"Alustiza Telleria, Santiago",Mutiloa,,1937-05-29,Fusilado / Fusilatua
"Alvarez Alvarez, Manuel",Sestao,Bilbo,1937-09-15,Fusilado / Fusilatua
"Alvarez Arroyo, Timoteo",Sopuerta,Markina,1936-10-21,Muerto frente / Frontean hila
"Alvarez Barrena, Gregorio",Badajoz,Irun,1936-08-15,Muerto frente / Frontean hila
"Alvarez Bilbao, Fernando",Bilbo,Bilbo,1939-05-16,Fusilado / Fusilatua
"Alvarez Bilbao, Juan",Bilbo,Legutio,1936-12-01,Muerto frente / Frontean hila
"Alvarez Candales, Jose",,Santander,,Desaparecido / Desagertua
"Alvarez Cuevas, Eliseo",Burgos,Donostia,1936-07-24,Muerto frente / Frontean hila
"Alvarez De La Corte, Angel",Bermeo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alvarez Del Rio, Gumersindo",Arrasate,Lemoa,1937-06-05,Muerto frente / Frontean hila
"Alvarez Diaz, Severiano",,,1937-05-15,Muerto frente / Frontean hila
"Alvarez Diez, Francisco",Galdames,Dima,1937-04-05,Muerto frente / Frontean hila
"Alvarez Dominguez, Antonio",Donostia,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Alvarez Fernandez, Jose",,,,Muerto frente / Frontean hila
"Alvarez Fernandez, Manuel",Barakaldo,Ipistikarriaga,1937-04-20,Muerto frente / Frontean hila
"Alvarez Fernandez, Marcelino",Bilbo,Elorrio,1937-04-23,Muerto frente / Frontean hila
"Alvarez Flores, Ramon",Tolosa,Madrid,,Muerto frente / Frontean hila
"Alvarez Garagarza, Francisco",Bilbo,Arrasate,1936-09-26,Muerto frente / Frontean hila
"Alvarez Garagarza, Juan",Bilbo,,,Muerto frente / Frontean hila
"Alvarez Garcia, Alfredo",Donostia,Donostia,1940-05-09,Fusilado / Fusilatua
"Alvarez Garcia, Angel",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Alvarez Garcia, Cipriano",,,,Muerto frente / Frontean hila
"Alvarez Garcia, Jose",Oviedo,Hospital Basurto,1937-06-06,Muerto frente / Frontean hila
"Alvarez Garcia, Manuel",,Muxika,1937-05-02,Muerto frente / Frontean hila
"Alvarez Garcia, Pedro",Bilbo,Ubidea,1936-12-18,Muerto frente / Frontean hila
"Alvarez Ibarra, Jose",Erandio,Sollube,1937-05-08,Muerto frente / Frontean hila
"Alvarez Lavega, Nicasio",Donostia,Zornotza,1937-05-14,Muerto frente / Frontean hila
"Alvarez Lopez, Leoncio",Donostia,Donostia,1937-08-25,Fusilado / Fusilatua
"Alvarez Mantilla, Francisco",Santander,Sollube,1937-05-10,Muerto frente / Frontean hila
"Alvarez Marcos, Ricardo",,,,Muerto frente / Frontean hila
"Alvarez Martinez, Tomas",Bilbo,Itziar,1936-09-23,Muerto frente / Frontean hila
"Alvarez Melchor, Merino",Balmaseda,Ubidea,1937-04-07,Muerto frente / Frontean hila
"Alvarez Montero, Antolin",Monesterio,Prision Orduña,1941-01-16,Muerto prisión / Espetxean hila
"Alvarez Montero, Emiliano",Bilbo,Bilbo,1937-06-24,Fusilado / Fusilatua
"Alvarez Nazabal, Antioco",Santander,Elorrio,1937-04-22,Muerto frente / Frontean hila
"Alvarez Neira, Francisco",Ortuella,Bilbo,1937-12-17,Fusilado / Fusilatua
"Alvarez Ordoñez, Ignacio",Asturias,Sollube,1937-05-14,Muerto frente / Frontean hila
"Alvarez Otegui, Antonio",,Alta Mar,1937-03-05,Muerto frente / Frontean hila
"Alvarez Pascual, Felipe",,Asturias,1936-11-02,Muerto frente / Frontean hila
"Alvarez Pascual, Juan",Vandellós,Prision Orduña,1940-07-18,Muerto prisión / Espetxean hila
"Alvarez Perez, Angel",Hernani,Orduña,1937-06-12,Muerto frente / Frontean hila
"Alvarez Perez, Santiago",Bilbo,Bilbo,1938-07-11,Fusilado / Fusilatua
"Alvarez Rodriguez, Angel",Asturias,Zornotza,1937-05-31,Muerto frente / Frontean hila
"Alvarez Rodriguez, Delfin",,Kanpazar,1937-04-16,Muerto frente / Frontean hila
"Alvarez Rodriguez, Jose",Errenteria,Elgeta,1937-04-20,Muerto frente / Frontean hila
"Alvarez Rodriguez, Jose",,Hospital Basurto,1937-05-31,Muerto frente / Frontean hila
"Alvarez Sanchez, Alejandro",Bilbo,Santoña,1938-02-12,Muerto prisión / Espetxean hila
"Alvarez Sobero, Antonio",Asturias,Hospital Barakaldo,1937-05-08,Muerto frente / Frontean hila
"Alvarez Suarez, Benjamin",Asturias,Elosu,1936-12-19,Muerto frente / Frontean hila
"Alvarez Suarez, Celso",Mieres,,1937-05-06,Muerto frente / Frontean hila
"Alvarez Suarez, Manuel",Asturias,Hospital Deustu,1937-05-28,Muerto frente / Frontean hila
"Alvarez Suso, Felix",Hernani,Kanpazar,1936-10-04,Muerto frente / Frontean hila
"Alvarez Tellechea, Angel",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Alvarez Tuesca, Adrian",,,,Muerto frente / Frontean hila
"Alvarez Uriarte, Miguel",Barakaldo,Gamiz,1937-06-11,Muerto frente / Frontean hila
"Alvarez Urrutia, Hipolito",Busturia,Derio,1937-08-05,Fusilado / Fusilatua
"Alvarez, Cesarea",Asturias,Muxika,1937-05-09,Muerto frente / Frontean hila
"Alvarez, Hermenegildo",Irun,Madrid,1937-07-15,Muerto frente / Frontean hila
"Alvarez, Inocente",Gasteiz,Gasteiz,1936-08-07,Fusilado / Fusilatua
"Alvarez, Jesus",Donostia,Donostia,1936-11-01,Fusilado / Fusilatua
"Alvarez, Luciano",Zamora,Zornotza,1936-12-01,Muerto frente / Frontean hila
"Alvarez, Melchor Avelino",Balmaseda,Barazar,1937-04-07,Muerto frente / Frontean hila
"Alvarez, Toribio",,,1937-06-04,Muerto frente / Frontean hila
"Alvaro Serna, Abundio",Francia,Legutio,1936-12-10,Muerto frente / Frontean hila
"Alvero Forgueras, Bonifacio",Iruñea,Lemoa,1937-06-07,Muerto frente / Frontean hila
"Alzanz Urquijo, Juan",Sestao,San Cristobal,1938-05-22,Fusilado / Fusilatua
"Alzola Lizundia, Rosario",Durango,Hospital Civil,1937-04-28,Bombardeo / Bonbardaketan hila
"Alzua Goicoechea, Julio",Pasaia,Orduña,1936-12-11,Muerto frente / Frontean hila
"Alzua Goikoetxea, Isidoro",Pasaia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alzubieta Bilbao, Julian",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Alzugaray Ibañez, Antonio",,,,Muerto frente / Frontean hila
"Alzugaray Jauregui, Martin",Donostia,Donostia,,Desaparecido / Desagertua
"Amador, Jose",,Euba,1937-05-11,Muerto frente / Frontean hila
"Amarica Olaeta, Eduarda",,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Amarica, Mariano",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Amas Olaizola, Juan",,Bizkargi,1937-05-15,Muerto frente / Frontean hila
"Ambrosio Sanchez, Juan",Erandio,Arrate,1936-09-29,Muerto frente / Frontean hila
"Amenera, Toribio",,Elorrio,1937-04-22,Muerto frente / Frontean hila
"Ametiller Bosch, Antonio",Deustu,Prision Deustu,1939-02-28,Fusilado / Fusilatua
"Amezaga Calzada, Asensio",Zorroza,Gasteiz,1937-06-28,Fusilado / Fusilatua
"Amezaga Villa, Leandro",Algorta,Bilbo,1937-09-11,Fusilado / Fusilatua
"Ameztoy Fernandez, Fermin",Donostia,Hernani,1936-10-22,Fusilado / Fusilatua
"Amiama Arregui, Jose Antonio",Pasaia,Donostia,1936-07-22,Muerto frente / Frontean hila
"Amiama Taberna, Ignacio",Pasaia,Andoain,1936-08-16,Muerto frente / Frontean hila
"Amiana Sasiain, Bautista",Legorreta,Hernani,1936-09-09,Bombardeo / Bonbardaketan hila
"Amiano Altuna, Vicente",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Amiano Amiano, Francisco",Tolosa,Donostia,1936-08-13,Fusilado / Fusilatua
"Amiano Larrañaga, Julian",Donostia,Asturias,1937-02-23,Muerto frente / Frontean hila
"Amias Bobenga, Candida",Ispaster,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Amijo Vidal, Avelino",Tolosa,Tolosa,1936-08-12,Fusilado / Fusilatua
"Amiliano Yabar, Daniel",Nafarroa,Izuskitza,1936-10-08,Muerto frente / Frontean hila
"Amilibia Elorza, Ignacio",Zarautz,Asturias,1936-10-20,Muerto frente / Frontean hila
"Amilibia Machimbarrena, Joaquin",Donostia,Tremp,1938-04-05,Muerto frente / Frontean hila
"Amilibia Martinez, Ciriaco",,Urkiola,1937-05-22,Muerto frente / Frontean hila
"Amilibia Mugica, Francisco",Zumaia,Zumaia,1939-11-25,Fusilado / Fusilatua
"Amilibia Saldias, Jose",Hernani,Hernani,,Fusilado / Fusilatua
"Amill Marturell, Miguel",Deustu,Prision Deustu,1938-10-07,Fusilado / Fusilatua
"Amillano Yobero, Domingo",Grocin,Izuskitza,1936-10-08,Muerto frente / Frontean hila
"Amo Ureta, Agustin",Portugalete,Otxandio,1937-05-06,Muerto frente / Frontean hila
"Amondarain Zabala, Cecilio",Tolosa,Bizkargi,1937-05-11,Muerto frente / Frontean hila
"Amondarain Zarraga, Alejandro",,Bizkargi,1937-06-13,Muerto frente / Frontean hila
"Amorebieta Charterina, Fermin",Bilbo,Sollube,1937-05-13,Muerto frente / Frontean hila
"Amoriza Astondoa, Nicolas",Bilbo,Bilbo,1937-06-20,Fusilado / Fusilatua
"Amoriza Izpizua, Mikel",Galdakao,Galdakao,1937-04-09,Bombardeo / Bonbardaketan hila
"Amorrortu Mugida, Casimiro",,Bizkargi,1937-05-28,Muerto frente / Frontean hila
"Amorrosta Ereño, Pedro",Bilbo,Santurtzi,1936-08-30,Bombardeo / Bonbardaketan hila
"Amuchategui Andres, Manuel",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Amundarain, Francisco",Lasarte,Andoain,,Fusilado / Fusilatua
"Amundarain, Miguel",Andoain,,,Fusilado / Fusilatua
"Amurrio Martinez, Marino",Gasteiz,Udala,1937-04-22,Muerto frente / Frontean hila
"Amuskibar Mendizabal, Miguel",Zarautz,Deba,1936-09-24,Muerto frente / Frontean hila
"Amusquibar, Mikel",Zarautz,,,Fusilado / Fusilatua
"Anabitarte Jemia, Jose",,Eibar,1937-04-24,Muerto frente / Frontean hila
"Anacabe Acarregui, Sandalio",Lekeitio,Elorrio,1937-03-31,Muerto frente / Frontean hila
"Anacabe Zabala, Joaquin",Bermeo,Lekeitio,1936-10-29,Bombardeo / Bonbardaketan hila
"Anadon Cambero, Santiago",Bera,,,Muerto frente / Frontean hila
"Anas Saenz, Luis",Barakaldo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Andaluz Iñigo, Teofilo",Bilbo,Bilbo,1939-02-10,Fusilado / Fusilatua
"Andiano, Avelino",Bilbo,Bilbo,,Fusilado / Fusilatua
"Andicoechea Uriarte, Diego",Fruniz,Mungia,1937-03-16,Otras circunstancias / Beste batzuk
"Andicoechea, Marcos",,,1937-05-07,Muerto frente / Frontean hila
"Andino Sauto, Lamberto",Balmaseda,Nafarrate,1936-12-18,Muerto frente / Frontean hila
"Ando Garcia, Pedro",Bilbo,Nafarrate,1936-12-18,Muerto frente / Frontean hila
"Andollo Santin, Manuel",,,,Muerto frente / Frontean hila
"Andonegui Balzola, Isidro",Donostia,Legutio,1936-11-30,Muerto frente / Frontean hila
"Andonegui Berasaluce, Ignacio",Donostia,Asturias,1937-03-22,Muerto frente / Frontean hila
"Andonegui San Sebastian, Antonio",Donostia,Elosu,1936-12-13,Muerto frente / Frontean hila
"Andonegui San Sebastian, Jose Miguel",Donostia,Asturias,1937-02-21,Muerto frente / Frontean hila
"Andonegui San Sebastian, Luitxo",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Andrade, Conchita",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Andres Amuategi, Santiago",Andoain,Araba,1937-03-05,Muerto frente / Frontean hila
"Andres Cubillo, Teodoro",Portugalete,Portugalete,1940-08-30,Fusilado / Fusilatua
"Andres De La Rosa, Manuel",Bilbo,Derio,1939-08-08,Fusilado / Fusilatua
"Andres Fernandez, Dalmaciano",,,,Muerto frente / Frontean hila
"Andres Gonzalez, Isidoro",Barakaldo,Baranbio,1936-12-08,Muerto frente / Frontean hila
